address,listingdate,saledate,amount,hometype,undercontract,inventory,listingcount,listingyear,listingmonth,saleyear,salemonth,dayofyear,timeonmarket,status,yearlysales,inventorytime
540 Shoreline,2017-01-02,2017-07-12,217000,residential,NA,1,1,2017,1,2017,7,2,191,Sold,0,NA
408 Seymour,2017-01-11,2017-08-30,235000,residential,NA,2,2,2017,1,2017,8,11,231,Sold,0,NA
582 Shoreline,2017-01-11,2017-09-11,223500,residential,NA,3,3,2017,1,2017,9,11,243,Sold,0,NA
571 Shoreline,2017-02-24,2017-05-19,177777,residential,NA,4,4,2017,2,2017,5,55,84,Sold,0,NA
143 Dewfield,2017-03-24,2017-05-15,182000,residential,NA,5,5,2017,3,2017,5,83,52,Sold,0,NA
219 Bridgeport,2017-04-24,2017-07-28,252999,residential,NA,6,6,2017,4,2017,7,114,95,Sold,0,NA
811 Vandenburg,2017-05-01,2017-08-14,189900,residential,NA,7,7,2017,5,2017,8,121,105,Sold,0,NA
608 Marchbanks,2017-05-01,2017-08-01,177000,residential,NA,8,8,2017,5,2017,8,121,92,Sold,0,NA
124 Dewfield,2017-05-18,2017-08-21,218000,residential,NA,8,9,2017,5,2017,8,138,95,Sold,1,96
206 Bridgeport,2017-06-05,2017-09-21,198000,residential,NA,8,10,2017,6,2017,9,156,108,Sold,2,48
878 Vandenburg,2017-07-28,2017-10-02,175000,residential,NA,8,11,2017,7,2017,10,209,66,Sold,4,24
247 Bridgeport,2017-09-19,2018-04-13,219500,residential,NA,3,12,2017,9,2018,4,262,206,Sold,9,4
239 Stewarts Landing,2017-11-09,2017-12-21,189900,patio home,NA,2,13,2017,11,2017,12,313,42,Sold,11,2.1818181818181817
537 Marchbanks,2018-01-01,2018-05-07,232500,residential,NA,2,1,2018,1,2018,5,1,126,Sold,12,2
127 Walkers Bluff,2018-01-19,2018-06-22,355000,residential,NA,3,2,2018,1,2018,6,19,154,Sold,12,3
113 Dewfield,2018-01-22,2018-02-01,208900,residential,NA,4,3,2018,1,2018,2,22,10,Sold,12,4
504 Marchbanks,2018-02-05,2018-03-19,212500,residential,NA,4,4,2018,2,2018,3,36,42,Sold,13,3.6923076923076925
843 Vandenburg,2018-02-06,2018-08-21,198500,residential,NA,5,5,2018,2,2018,8,37,196,Sold,13,4.615384615384616
412 Pierview,2018-02-06,2018-03-29,165000,townhome,NA,6,6,2018,2,2018,3,37,51,Sold,13,5.538461538461538
851 Culverhouse,2018-02-09,2018-05-14,314900,residential,NA,7,7,2018,2,2018,5,40,94,Sold,13,6.461538461538462
826 Vandenburg,2018-02-11,2018-03-20,190000,residential,NA,8,8,2018,2,2018,3,42,37,Sold,13,7.384615384615385
710 Ethridge,2018-02-12,2018-09-13,268000,residential,NA,9,9,2018,2,2018,9,43,213,Sold,13,8.307692307692307
411 Pierview,2018-03-05,2018-09-28,221000,patio home,NA,10,10,2018,3,2018,9,64,207,Sold,13,9.230769230769232
417 Pierview,2018-03-08,2018-04-17,187000,townhome,NA,11,11,2018,3,2018,4,67,40,Sold,13,10.153846153846153
214 Bridgeport,2018-03-23,2018-07-03,235900,residential,NA,10,12,2018,3,2018,7,82,102,Sold,15,8
568 Marchbanks,2018-04-11,2018-12-29,210000,residential,NA,10,13,2018,4,2018,12,101,262,Sold,16,7.5
512 Inner Banks,2018-05-03,2019-08-02,290000,residential,NA,9,14,2018,5,2019,8,123,456,Sold,18,6
831 Vandenburg,2018-05-25,2019-08-07,223000,residential,NA,8,15,2018,5,2019,8,145,439,Sold,18,5.333333333333333
564 Shoreline,2018-07-10,2018-08-31,212900,residential,NA,7,16,2018,7,2018,8,191,52,Sold,20,4.199999999999999
115 Walkers Bluff,2018-07-22,2019-09-18,365000,residential,NA,8,17,2018,7,2019,9,203,423,Sold,19,5.052631578947368
544 Shoreline,2018-07-30,2019-06-16,203000,residential,NA,9,18,2018,7,2019,6,211,321,Sold,18,6
114 Bridgeville,2018-08-03,2018-09-21,181700,residential,NA,10,19,2018,8,2018,9,215,49,Sold,17,7.0588235294117645
609 Cordelia,2018-08-15,2018-10-04,200000,residential,NA,11,20,2018,8,2018,10,227,50,Sold,16,8.25
711 Ethridge,2018-08-29,2018-10-11,225000,residential,NA,11,21,2018,8,2018,10,241,43,Sold,16,8.25
419 Pierview,2018-09-17,2019-03-08,200000,townhome,NA,10,22,2018,9,2019,3,260,172,Sold,16,7.5
569 Marchbanks,2018-09-25,2018-11-19,220000,residential,NA,10,23,2018,9,2018,11,268,55,Sold,16,7.5
802 Hartscove,2018-10-06,2018-11-14,354000,residential,NA,9,24,2018,10,2018,11,279,39,Sold,17,6.352941176470589
805 Nola,2018-10-09,2019-12-06,285000,residential,NA,10,25,2018,10,2019,12,282,423,Sold,17,7.0588235294117645
460 Shoreline,2018-10-18,2018-11-28,295000,residential,NA,10,26,2018,10,2018,11,291,41,Sold,18,6.666666666666667
590 Marchbanks,2018-10-25,2018-12-17,210000,residential,NA,11,27,2018,10,2018,12,298,53,Sold,18,7.333333333333334
556 Shoreline,2018-10-25,2019-03-04,232000,residential,NA,12,28,2018,10,2019,3,298,130,Sold,18,8
211 Stewarts Landing,2018-11-06,2019-08-28,200000,townhome,NA,13,29,2018,11,2019,8,310,295,Sold,18,8.666666666666666
408 Pierview,2018-11-20,2019-06-25,197000,townhome,NA,12,30,2018,11,2019,6,324,217,Sold,20,7.199999999999999
592 Marchbanks,2018-12-26,2019-12-09,225000,residential,NA,11,31,2018,12,2019,12,360,348,Sold,21,6.2857142857142865
722 Grays Harbor,2019-01-01,2019-02-20,210000,patio home,NA,11,1,2019,1,2019,2,1,50,Sold,22,6
415 Pierview,2019-01-03,2019-08-28,197000,townhome,NA,12,2,2019,1,2019,8,3,237,Sold,22,6.545454545454545
556 Marchbanks,2019-01-09,2019-03-08,255000,residential,NA,13,3,2019,1,2019,3,9,58,Sold,22,7.090909090909092
906 Fenway,2019-01-18,2019-02-27,380000,residential,NA,14,4,2019,1,2019,2,18,40,Sold,22,7.636363636363637
904 Palmdale,2019-01-22,2019-03-29,269900,residential,NA,15,5,2019,1,2019,3,22,66,Sold,22,8.181818181818182
273 Bridgeport,2019-01-29,2019-03-27,196000,residential,NA,16,6,2019,1,2019,3,29,57,Sold,22,8.727272727272727
413 Pierview,2019-02-05,2019-10-07,195900,townhome,NA,17,7,2019,2,2019,10,36,244,Sold,21,9.714285714285715
312 Hamilton Gaines,2019-02-28,2019-05-15,365000,residential,NA,16,8,2019,2,2019,5,59,76,Sold,23,8.347826086956522
871 Culverhouse,2019-02-28,2019-06-07,239000,residential,NA,17,9,2019,2,2019,6,59,99,Sold,23,8.869565217391305
239 Stewarts Landing,2019-03-01,2019-04-30,194900,patio home,NA,18,10,2019,3,2019,4,60,60,Sold,23,9.391304347826088
831 Culverhouse,2019-03-08,2019-04-30,210000,residential,NA,18,11,2019,3,2019,4,67,53,Sold,26,8.307692307692307
504 Inner Banks,2019-03-18,2019-04-24,238900,residential,NA,17,12,2019,3,2019,4,77,37,Sold,26,7.846153846153847
604 Marchbanks,2019-03-22,2019-05-08,230000,residential,NA,18,13,2019,3,2019,5,81,47,Sold,24,9
620 Marchbanks,2019-03-25,2019-05-28,245000,residential,NA,19,14,2019,3,2019,5,84,64,Sold,24,9.5
504 Witherspoon,2019-03-26,2019-05-09,300000,residential,NA,20,15,2019,3,2019,5,85,44,Sold,24,10
115 Bridgeville,2019-04-04,2019-08-09,203000,residential,NA,19,16,2019,4,2019,8,94,127,Sold,25,9.120000000000001
111 Bridgeville,2019-04-05,2019-04-30,176500,residential,NA,20,17,2019,4,2019,4,95,25,Sold,25,9.600000000000001
234 Bridgeport,2019-04-18,2019-10-25,209000,residential,NA,21,18,2019,4,2019,10,108,190,Sold,23,10.956521739130434
216 Stewarts Landing,2019-04-27,2019-08-12,194000,townhome,NA,21,19,2019,4,2019,8,117,107,Sold,24,10.5
871 Vandenburg,2019-04-30,2019-07-26,186500,residential,NA,22,20,2019,4,2019,7,120,87,Sold,27,9.777777777777777
410 Pierview,2019-05-10,2019-12-17,180000,townhome,NA,18,21,2019,5,2019,12,130,221,Sold,28,7.714285714285715
742 Ethridge,2019-05-15,2019-12-06,216000,residential,NA,19,22,2019,5,2019,12,135,205,Sold,28,8.142857142857142
729 Ethridge,2019-05-29,2019-09-20,203500,residential,NA,18,23,2019,5,2019,9,149,114,Sold,29,7.448275862068966
459 Shoreline,2019-05-29,2019-08-20,267000,residential,NA,19,24,2019,5,2019,8,149,83,Sold,29,7.862068965517241
733 Maya,2019-06-10,2019-08-23,218000,residential,NA,19,25,2019,6,2019,8,161,74,Sold,30,7.6
109 Dewfield,2019-06-14,2019-10-21,273000,residential,NA,20,26,2019,6,2019,10,165,129,Sold,30,8
603 Marchbanks,2019-06-17,2019-08-16,209900,residential,NA,20,27,2019,6,2019,8,168,60,Sold,31,7.741935483870968
103 Walkers Bluff,2019-06-21,2019-08-12,379900,residential,NA,21,28,2019,6,2019,8,172,52,Sold,31,8.129032258064516
901 Fenway,2019-07-12,2020-01-06,280000,residential,NA,21,29,2019,7,2020,1,193,178,Sold,30,8.399999999999999
553 Shoreline,2019-07-15,2019-08-27,256800,residential,NA,22,30,2019,7,2019,8,196,43,Sold,30,8.799999999999999
719 Ethridge,2019-07-17,2019-11-24,190000,residential,NA,23,31,2019,7,2019,11,198,130,Sold,30,9.200000000000001
830 Culverhouse,2019-07-18,2019-11-13,280000,residential,NA,24,32,2019,7,2019,11,199,118,Sold,30,9.600000000000001
578 Shoreline,2019-07-19,2019-09-27,214000,residential,NA,25,33,2019,7,2019,9,200,70,Sold,30,10
416 Pierview,2019-07-26,2019-08-26,190000,townhome,NA,26,34,2019,7,2019,8,207,31,Sold,31,10.064516129032258
419 Seymour,2019-07-29,2020-06-15,365000,residential,NA,26,35,2019,7,2020,6,210,322,Sold,31,10.064516129032258
213 Stewarts Landing,2019-08-09,2019-11-25,198000,townhome,NA,25,36,2019,8,2019,11,221,108,Sold,34,8.823529411764707
742 Maya,2019-08-31,2020-02-21,229000,residential,NA,16,37,2019,8,2020,2,243,174,Sold,41,4.682926829268293
152 Dewfield,2019-09-10,2019-12-12,222000,residential,NA,17,38,2019,9,2019,12,253,93,Sold,41,4.975609756097561
235 Bridgeport,2019-09-12,2019-12-10,266000,residential,NA,18,39,2019,9,2019,12,255,89,Sold,41,5.2682926829268295
600 Marchbanks,2019-09-30,2019-11-21,235000,residential,NA,16,40,2019,9,2019,11,273,52,Sold,41,4.682926829268293
267 Stewarts Landing,2019-10-19,2020-01-07,205600,patio home,NA,16,41,2019,10,2020,1,292,80,Sold,40,4.800000000000001
526 Inner Banks,2019-11-07,2020-01-08,271000,residential,NA,15,42,2019,11,2020,1,311,62,Sold,42,4.285714285714286
105 Dewfield,2019-11-08,2020-03-03,229000,residential,NA,16,43,2019,11,2020,3,312,116,Sold,42,4.571428571428571
417 Pierview Way,2019-11-11,2020-02-06,194900,townhome,NA,17,44,2019,11,2020,2,315,87,Sold,42,4.857142857142858
858 Vandenburg,2019-12-03,2020-04-13,210000,residential,NA,14,45,2019,12,2020,4,337,132,Sold,43,3.906976744186047
135 Walkers Bluff,2019-12-08,2020-05-01,370000,residential,NA,13,46,2019,12,2020,5,342,145,Sold,45,3.4666666666666663
208 Stewarts Landing,2019-12-13,2019-12-13,192000,townhome,NA,11,47,2019,12,2019,12,347,0,Sold,49,2.693877551020408
206 Stewarts Landing,2019-12-17,2020-01-06,193000,townhome,NA,11,48,2019,12,2020,1,351,20,Sold,49,2.693877551020408
504 Witherspoon,2020-01-09,2020-03-17,318000,residential,NA,7,1,2020,1,2020,3,9,68,Sold,52,1.6153846153846154
125 Bridgeville,2020-01-20,2020-08-21,229000,residential,NA,8,2,2020,1,2020,8,20,214,Sold,52,1.8461538461538463
214 Stewarts Landing,2020-01-23,2020-04-22,187750,townhome,NA,9,3,2020,1,2020,4,23,90,Sold,52,2.0769230769230766
703 Grays Harbor,2020-01-27,2020-03-09,194900,patio home,NA,10,4,2020,1,2020,3,27,42,Sold,52,2.307692307692308
